관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자
3820000-101-2024-00428,메가엠지씨커피 의정부역브라운스톤점,204822.177520711,470564.944122547,영업/정상,2024-10-31,
3820000-101-2024-00438,매머드 익스프레스 의정부민락중앙점,208369.729611209,471489.429701166,영업/정상,2024-11-11,
3820000-101-2024-00397,빽다방 의정부호원한주점,204093.428760833,468715.418181939,영업/정상,2024-10-10,
3820000-101-2008-00523,빽다방 의정부가능역점,203887.929788272,471761.257757307,영업/정상,2008-11-12,
3820000-101-2023-00375,빽다방 호원범골역점,203805.041263678,469453.805165062,영업/정상,2023-08-25,
3820000-101-2015-00369,메가엠지씨커피 송산역점,207612.425847854,470479.073464579,영업/정상,2015-10-01,
3820000-101-2010-00427,메가 엠지씨 커피 의정부 효자초점,206922.364803209,471939.705802302,영업/정상,2010-11-23,
3820000-101-2005-00512,더벤티 의정부효자초점,206977.292439694,471938.009163723,영업/정상,2005-10-19,
3850000-101-2013-00142,이디야커피 평촌갈산공원점,196442.013081101,430516.872079861,영업/정상,2013-05-29,
3850000-101-2009-00040,빽다방 안양대림대앞점,193730.980777378,433243.898244426,영업/정상,2009-03-24,
3850000-101-2007-00104,평촌씨지브이점 빽다방,196587.715042503,432322.231939368,영업/정상,2007-04-23,
3840000-101-2001-00465,메가엠지씨커피 안양병목안점,191929.627710851,432329.132821496,영업/정상,2001-12-05,
3850000-101-2021-00104,컴포즈커피 안양금정SKV1점,195226.736723834,430247.433545406,영업/정상,2021-05-12,
3850000-101-2023-00118,메가엠지씨커피 인덕원삼성점,198096.037756958,432929.082740888,영업/정상,2023-05-31,
3850000-101-2022-00082,이디야평촌더샵센트럴시티점,196532.492753374,433068.392076749,영업/정상,2022-04-07,
3850000-101-2019-00175,이디야커피 안양법원점,196470.866041274,432542.986000812,영업/정상,2019-09-11,
3840000-101-1980-00026,더벤티 댕리단길점,192697.32300356,433188.071028669,영업/정상,1980-10-24,
3850000-101-2007-00087,메가엠지씨커피 범계로데오점,195841.573492997,432111.915215799,영업/정상,2007-04-06,
3840000-101-2004-00022,메가엠지씨커피 연성대점,192295.806636555,432796.75499099,영업/정상,2004-02-07,
3850000-101-2003-00344,컴포즈커피 평촌학원가점,196392.118151762,431125.881573562,영업/정상,2003-11-26,
5540000-101-2014-00131,커피에반하다,229932.739364039,427506.014769796,폐업,2014-06-23,2021-03-10
5540000-101-2010-00094,메가엠지씨커피(광주도평점),225703.473492994,432571.442397559,영업/정상,2010-06-03,
5540000-101-2015-00041,메가엠지씨커피 곤지암점,228842.068283609,428304.733015744,영업/정상,2015-03-04,
5540000-101-2020-00102,메가엠지씨커피 중대물빛공원점,219388.414416899,433395.943762996,영업/정상,2020-04-21,
3760000-101-2003-00389,이디야수원권선중앙점,203050.120419647,416585.532933621,폐업,2003-08-25,2024-06-14
3770000-101-1996-00123,이디야,201385.38205726,419696.449071884,폐업,1996-07-03,2021-01-26
3760000-101-2022-00279,메가엠지씨커피 수원하늘채점,202855.408478632,415540.425998597,폐업,2022-10-27,2023-11-20
3770000-101-2021-00239,매머드익스프레스 수원나혜석거리점,202888.720397105,417990.71377601,폐업,2021-09-09,2023-07-12
5610000-101-2013-00305,커피에반하다,206780.052160054,416775.86218981,폐업,2013-12-02,2024-12-17
5610000-101-2013-00213,커피에반하다,205245.055842667,416101.852591897,폐업,2013-08-19,2017-04-13
3770000-101-2019-00060,메가MGC커피 수원지동시장점,201663.984235887,419549.745726055,폐업,2019-03-15,2024-10-14
5610000-101-2001-00343,이디야커피 GBSA점,203754.265003274,421063.64691372,폐업,2001-10-19,2021-07-30
3760000-101-2017-00232,빽다방 수원곡선하늘채점,202841.84,415507.505,폐업,2017-10-26,2022-01-25
3760000-101-2009-00219,컴포즈커피(수원권선시장점),202245.518229812,417120.639250765,폐업,2009-11-27,2022-12-26
3750000-101-2005-00002,이디야 천천점,198427.050712068,421580.780522012,폐업,2005-01-04,2025-04-11
