관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,nearby_cafe_count
3000000-101-1992-06474,이디야청계광장점,198119.936679056,451902.693235315,폐업,1992-06-05,2021-01-18,18
3030000-101-2001-06745,이디야커피(금호역점),201504.910765224,449574.878021141,폐업,2001-02-06,2021-05-27,4
3030000-101-2005-00054,이디야 답십리로데오점,204572.468581227,451288.717634418,폐업,2005-03-28,2024-01-30,4
3060000-101-2020-00063,감성커피 상봉점,207522.003991159,454614.703800827,폐업,2020-04-09,2025-04-08,10
3060000-101-2012-00143,매머드커피묵동자이점,206777.731391054,456837.219624564,폐업,2012-07-19,2023-03-23,10
3060000-101-2003-00693,이디야(중화역점),206896.700735158,455647.890887537,폐업,2003-12-19,2023-11-03,9
3060000-101-2004-00571,이디야,207756.246635112,453630.785194671,폐업,2004-12-03,2023-07-11,9
3120000-101-2013-00142,매머드커피,196828.829637637,451670.514152007,폐업,2013-06-10,2019-05-20,6
3120000-101-2014-00294,빽다방(서대문역점),196840.383889937,451653.87389314,폐업,2014-12-09,2021-11-18,9
3120000-101-2015-00134,빽다방 이대정문점,195107.690300528,450756.291896813,폐업,2015-05-13,2020-12-24,6
3120000-101-2019-00219,감성커피 홍제역점,195045.660792095,453969.846574818,폐업,2019-07-16,2022-06-07,6
3120000-101-2011-00107,이디야커피 가좌역점,192430.747828561,451913.110479249,폐업,2011-05-04,2017-10-13,3
3170000-101-2019-00047,감성커피 금천시흥점,192045.604230377,438876.299174794,폐업,2019-02-25,2022-07-20,5
3230000-101-2023-00330,더벤티 잠실장미상가점,208707.089897534,446299.352775446,폐업,2023-05-10,2024-06-28,9
3230000-101-2015-00321,이디야커피 방이미성점,210775.452144611,444886.92475337,폐업,2015-07-10,2023-05-10,10
3230000-101-2012-00125,이디야커피 송파한양점,209971.561769881,444625.863105631,폐업,2012-04-02,2024-07-19,6
3230000-101-2018-00519,감성커피 방이역점,210903.816323612,445361.060904842,폐업,2018-07-24,2024-02-29,5
3070000-101-2024-00351,빽다방 성북우체국점,202482.840792153,456067.252354538,폐업,2024-08-13,2024-08-20,6
3070000-101-2002-00051,이디야 길음역점,202029.981799661,455605.716911266,폐업,2002-01-31,2019-12-03,3
3070000-101-2011-00240,이디야,201424.988220241,454071.021752091,폐업,2011-08-11,2022-02-09,9
3070000-101-2024-00447,빽다방 한예종석관점,205155.139567981,456508.891830093,폐업,2024-10-18,2024-10-19,7
3080000-101-2013-00217,이디야 광산사거리,201930.770048587,460020.981733386,폐업,2013-09-17,2023-02-10,9
3080000-101-2001-09059,이디야(삼각산점),201343.966010239,457508.846098196,폐업,2001-12-20,2024-09-24,8
3080000-101-2007-00123,이디야 수유1동점,201493.548940074,458597.485196888,폐업,2007-05-31,2023-10-10,4
3080000-101-2009-00145,이디야 커피,202536.541879297,456758.813670659,폐업,2009-06-02,2023-10-30,7
3080000-101-2019-00082,감성커피 미아민병원점,202337.148434207,457806.819119783,폐업,2019-04-11,2025-04-04,6
3090000-101-2021-00077,감성커피도봉점,203918.365043785,464475.731561079,폐업,2021-04-23,2023-04-19,5
3220000-101-2020-01526,매머드익스프레스 압구정점,202398.022535049,446869.307086395,폐업,2020-12-21,2023-01-16,6
3220000-101-2015-00871,매머드 익스프레스 선릉대림점,204181.823243711,444950.728644939,폐업,2015-09-30,2020-06-30,13
3220000-101-2012-00451,이디야커피 역삼GFC점,203207.24444991,444098.380981066,폐업,2012-06-13,2017-02-10,8
3220000-101-1989-17876,빽다방 멜로우 논현지점,202056.105851493,444977.96960847,폐업,1989-10-10,2017-07-07,7
3220000-101-2023-00466,주식회사 앤하우스 메가MGC커피(한시적),205130.591678902,445590.096837802,폐업,2023-04-03,2023-04-13,4
3220000-101-2005-00064,빽다방(청담영동고점),203546.514567012,446316.917431553,폐업,2005-01-25,2022-03-03,7
3220000-101-2015-00380,이디야커피(압구정로데오역점),203362.470743292,447255.500059519,폐업,2015-05-06,2022-10-17,3
3220000-101-2014-00412,빽다방 삼성동공항타워점,204981.823447481,445317.569993275,폐업,2014-05-09,2019-09-27,5
3220000-101-2015-00248,매머드 익스프레스 테헤란점(MAMMOTH EXPRESS),202852.696796033,444268.846317292,폐업,2015-03-26,2023-06-28,13
3220000-101-2015-00939,빽다방 대치청실점,205154.638096613,443439.981644506,폐업,2015-10-16,2017-09-13,2
3240000-101-2009-00420,이디야 굽은다리역점,212467.434115035,449047.681507441,폐업,2009-11-16,2022-12-20,6
3140000-101-2012-00319,이디야커피 서남병원점,185110.894254328,445597.867304429,폐업,2012-12-17,2023-01-16,3
3200000-101-2021-00067,컴포즈커피 봉천중앙점,194935.523379602,442196.00390157,폐업,2021-02-03,2024-10-25,9
3200000-101-2004-00517,이디야,194544.691396571,440901.965658555,폐업,2004-10-28,2018-01-16,6
3200000-101-2001-11392,이디야낙성대점,196588.666246939,441749.702697104,폐업,2001-10-25,2017-11-27,3
3050000-101-2010-00176,이디야경희대점,204569.432296208,454399.29339359,폐업,2010-06-03,2017-08-23,6
3050000-101-2024-00013,메가엠지씨커피 동대문구청점,203340.686374876,452607.843299182,폐업,2024-01-15,2024-02-15,5
3110000-101-2020-00018,감성커피 불광역점,193687.83561561,456469.658454439,폐업,2020-01-14,2022-05-09,7
3110000-101-1991-05360,이디야,192950.245106038,456287.998883901,폐업,1991-11-08,2024-10-04,9
3110000-101-2004-00208,컴포즈응암오거리점,192565.042051109,454222.084119125,폐업,2004-06-28,2021-12-28,10
3110000-101-2002-00450,이디야,192144.782048469,456791.43331642,폐업,2002-10-28,2017-07-05,2
3130000-104-2017-00065,커피에반하다 홍대점,193280.853739988,450136.139175705,폐업,2017-02-27,2022-02-08,16
3130000-104-2017-00322,이디야 성산중앙점,192567.210922042,450896.344372486,폐업,2017-09-04,2024-11-18,5
3130000-104-2017-00415,매머드커피 마포중앙도서관점(129호),191843.829548101,451282.5581689,폐업,2017-11-16,2022-02-08,5
3100000-104-2018-00187,이디야월계초교점,204376.414367095,458295.225158013,폐업,2018-11-29,2023-10-18,4
3140000-104-2018-00175,더벤티킴스클럽목동점,188977.171050288,447466.355031447,폐업,2018-11-20,2023-02-08,7
3170000-104-2019-00007,만랩커피 독산점,189920.528610917,440521.85524888,폐업,2019-01-11,2023-03-06,8
3100000-104-2019-00014,커피에반하다,205368.388442949,461774.111086211,폐업,2019-01-21,2021-05-28,13
3090000-104-2019-00016,커피에반하다,204063.565019682,461204.628081227,폐업,2019-01-25,2021-03-30,9
3070000-104-2019-00043,만랩커피 홈플러스월곡점,203502.004139568,455500.568972657,폐업,2019-03-05,2023-03-09,6
3220000-104-2019-00106,만랩커피 삼성싹아트홀점,204849.998753087,445280.596880852,폐업,2019-02-27,2023-03-09,6
