관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,is_alive,population
3160000-101-2020-00372,컴포즈커피 개봉푸르지오점,186459.681435835,444445.231347178,영업/정상,2020-12-01,,1,380.75
3160000-101-2007-00034,매머드익스프레스 구로코오롱타워2차점,190734.812272237,442305.230860115,영업/정상,2007-02-02,,1,1.25
3160000-101-2013-00315,매머드 익스프레스 구로디지털점,191044.864874962,442557.902902871,영업/정상,2013-10-16,,1,197.25
3160000-101-2022-00275,메가엠지씨커피 구로NC점,189632.396283313,444440.346291762,영업/정상,2022-09-06,,1,259.25
3160000-101-2021-00347,매머드익스프레스 구로SKV1점,183746.686550444,441744.40616131,영업/정상,2021-10-01,,1,0.0
3160000-101-2024-00143,메가엠지씨커피 구로이화교차로점,190471.903764182,443182.48092442,영업/정상,2024-04-26,,1,50.375
3160000-101-2022-00012,매머드익스프레스 동양미래대점,188089.730197161,444275.447306547,영업/정상,2022-01-13,,1,595.125
3160000-101-2022-00011,컴포즈커피 오금교점,189067.276002245,444891.605594405,영업/정상,2022-01-13,,1,151.0
3160000-101-2001-08860,메가엠지씨커피 동양미래대학점,188137.354153271,444275.400794983,영업/정상,2001-02-05,,1,46.375
3160000-101-1996-01018,빽다방 구로시장점,190296.099939558,443081.976965059,영업/정상,1996-03-14,,1,75.0
3160000-101-2013-00198,빽다방 구로코오롱점,190734.812272237,442305.230860115,영업/정상,2013-07-29,,1,1.25
3160000-101-2005-00031,빽다방 고대구로병원점,189700.281557111,443187.957120104,영업/정상,2005-01-26,,1,68.375
3160000-101-2006-00099,메가엠지씨커피 구로거리공원점,190150.586906898,444289.051633068,영업/정상,2006-03-21,,1,570.875
3160000-101-2005-00226,컴포즈커피(동양미래대학점),188132.565624313,444217.948267109,영업/정상,2005-06-09,,1,46.375
3160000-101-2003-00559,이디야커피 남구로역점,189946.556007652,442503.673703011,영업/정상,2003-11-19,,1,604.375
3160000-101-2024-00192,매머드익스프레스 구로대륭포스트8차점,190586.019686377,442101.685544921,영업/정상,2024-05-31,,1,1.25
3040000-101-1981-02511,이디야(중곡역점),207333.639771374,451464.267096677,폐업,1981-01-22,2023-07-25,0,170.25
3040000-101-2009-00208,어린이대공원역점 홍콩반점&빽다방,206322.32617093,449541.914006032,폐업,2009-07-02,2022-12-02,0,194.5
3040000-101-2022-00045,감성커피군자역점,206893.243768773,450355.212380878,폐업,2022-02-15,2024-11-15,0,167.25
3040000-101-2024-00464,이디야 건대역점,206031.196548172,448731.099217371,영업/정상,2024-12-24,,1,346.875
3040000-101-2021-00043,메가엠지씨커피 신자초사거리점,206641.557042355,447859.976973617,영업/정상,2021-02-03,,1,273.375
3040000-101-2020-00464,컴포즈커피(자양신양초교점),206072.891275754,448105.698154405,영업/정상,2020-12-24,,1,441.25
3040000-101-2022-00287,메가엠지씨커피 건대스타점,206226.926961699,448851.599084027,영업/정상,2022-08-11,,1,1.0
3040000-101-2009-00414,컴포즈 광진자양점,206931.750778661,447616.205224213,영업/정상,2009-12-21,,1,501.125
3040000-101-2021-00206,메가엠지씨커피 신양초사거리점,205969.966011569,448175.917404606,영업/정상,2021-05-26,,1,139.875
3040000-101-2021-00449,컴포즈커피 자양하늘채점,207352.865643852,447751.892968617,영업/정상,2021-12-06,,1,293.0
3040000-101-2013-00185,빽다방건대역화양점,205994.165579214,448892.855438889,영업/정상,2013-07-04,,1,682.0
3040000-101-2007-00373,메가엠지씨커피 아차산역점,207896.310382721,450047.504370537,영업/정상,2007-12-03,,1,73.5
3040000-101-1980-06178,메가엠지씨커피 건대입구역점,205948.480566193,448701.947776139,영업/정상,1980-09-02,,1,46.625
3040000-101-2007-00277,더벤티구의사거리점,207509.04296926,449285.020450024,영업/정상,2007-09-13,,1,155.25
3040000-101-2023-00191,이디야커피 자양사거리점,207341.768147956,448093.474633392,영업/정상,2023-05-23,,1,126.375
3040000-101-2016-00059,빽다방중곡시장점,207117.520259692,451575.130183666,영업/정상,2016-03-16,,1,258.125
3040000-101-2001-09582,컴포즈커피(구의사거리점),207517.720725063,449235.503615099,영업/정상,2001-03-23,,1,155.25
3040000-101-2015-00178,빽다방 아차산점,207936.849819674,450070.466101166,영업/정상,2015-07-07,,1,461.5
3040000-101-2016-00206,메가엠지씨커피 동서울터미널점,208189.434497483,448129.166313052,영업/정상,2016-07-26,,1,925.75
3040000-101-2024-00370,메가엠지씨커피 자양역점,205945.98820137,447862.351973505,영업/정상,2024-10-07,,1,523.25
3130000-101-1999-06927,이디야,193327.96005519,450134.152033878,폐업,1999-01-21,2018-08-30,0,147.0
3130000-101-2002-00757,이디야,191041.644341876,450459.367222629,폐업,2002-12-16,2023-12-29,0,323.75
3130000-101-2013-00714,이디야커피,193125.832537497,450720.602265804,폐업,2013-12-06,2023-01-17,0,65.5
3130000-101-2009-00346,이디야,193443.852794446,450457.094862042,폐업,2009-07-27,2022-12-02,0,72.25
3130000-101-2024-00992,메가엠지씨커피 경성고입구사거리점,192567.210922042,450896.344372486,영업/정상,2024-11-20,,1,79.125
3130000-101-2018-01101,매머드 익스프레스 상암IT타워점,189857.566447564,453271.198852486,영업/정상,2018-12-13,,1,0.0
3130000-101-1996-08717,메가엠지씨커피 상암파출소점,190566.391363613,452854.648481502,영업/정상,1996-07-19,,1,118.875
3130000-101-2022-00714,메가엠지씨커피 동교삼거리점,193107.201830061,450641.428502345,영업/정상,2022-08-17,,1,65.5
3130000-101-2022-00732,메가엠지씨커피 합정역점,192351.519505378,449683.522663289,영업/정상,2022-08-19,,1,5.125
3130000-101-2010-00507,메가엠지씨커피 홍대점,192980.814894771,450022.720414242,영업/정상,2010-09-28,,1,140.25
3130000-101-1976-03765,빽다방 마포경찰서점,195942.949026376,449788.340246381,영업/정상,1976-11-05,,1,333.5
3130000-101-2010-00352,컴포즈 마포 성산점,191582.201393688,451027.322396616,영업/정상,2010-06-29,,1,78.625
3130000-101-2011-00236,매머드익스프레스 상수역점,193107.700225316,449535.218643641,영업/정상,2011-04-27,,1,193.875
3130000-101-2000-08202,이디야 합정동점,192779.49786271,449555.828800301,영업/정상,2000-02-09,,1,58.0
3130000-101-2015-00795,매머드 익스프레스 상암이안점,190335.496775957,452758.642764785,영업/정상,2015-10-21,,1,373.625
3130000-101-2007-09595,이디야(상수역점),193106.578304999,449556.820962996,영업/정상,2007-10-24,,1,193.875
3130000-101-2012-00364,메가엠지씨커피 동교점,193015.72678089,450794.119576737,영업/정상,2012-06-26,,1,193.875
3130000-101-2015-00196,메가엠지씨커피 상암하늘초점,189343.018197048,453624.815904288,영업/정상,2015-03-20,,1,0.0
3130000-101-1981-02292,컴포즈커피 마포공덕점(Composecoffee 마포공덕점),195157.394124803,449340.213344844,영업/정상,1981-07-13,,1,251.0
3130000-101-2017-00922,빽다방 연남센트럴점,193265.922229221,451122.252891054,영업/정상,2017-11-02,,1,111.125
3130000-101-2012-00517,메가엠지씨커피 상암누리꿈점,190250.875091908,453017.867202928,영업/정상,2012-08-24,,1,0.0
3130000-101-2012-00234,메가엠지씨커피 상수역점,193146.005083662,449621.386147381,영업/정상,2012-04-30,,1,206.25
3130000-101-2016-00438,만랩커피,190086.625449279,453231.427685063,영업/정상,2016-06-07,,1,373.875
